	Degree	Closeness	Betweenness	PageRank	Eigenvector
TP	224	316	801	104	573
TN	2094	2065	1866	2102	1975
FP	33	62	261	25	152
FN	2761	2669	2184	2881	2412
PPV	0.8715953307393	0.835978835978836	0.754237288135593	0.806201550387597	0.790344827586207
NPV	0.431307929969104	0.436206168145332	0.460740740740741	0.421834236403773	0.450193754273991
Sensitivity	0.0750418760469012	0.105862646566164	0.268341708542714	0.0348408710217755	0.191959798994975
Specificity	0.984485190409027	0.970850963798778	0.877291960507757	0.988246356370475	0.928537846732487
F1_score	0.138186304750154	0.187927445732977	0.395848776871757	0.0667951188182402	0.3088948787062
MCC	0.134279345135082	0.14450015347245	0.176940778540444	0.072558349369477	0.170247857022567
