	Degree	Closeness	Betweenness	PageRank	Eigenvector	s_av_Edge_Betweenness	i_av_Edge_Betweenness	w_av_Edge_Betweenness	b_av_Edge_Betweenness
TP	92	124	364	55	228	323	97	337	93
TN	1328	1318	1220	1328	1277	1209	1304	1200	1306
FP	12	22	120	12	63	131	36	140	34
FN	1603	1571	1331	1640	1467	1372	1598	1358	1602
PPV	0.884615384615385	0.849315068493151	0.752066115702479	0.82089552238806	0.783505154639175	0.711453744493392	0.729323308270677	0.706498951781971	0.732283464566929
NPV	0.45308768338451	0.456213222568363	0.478243825950608	0.44743935309973	0.465379008746356	0.468423091824874	0.44934527911785	0.469116497263487	0.449105914718019
Sensitivity	0.0542772861356932	0.0731563421828909	0.214749262536873	0.0324483775811209	0.134513274336283	0.190560471976401	0.0572271386430678	0.19882005899705	0.0548672566371681
Specificity	0.991044776119403	0.983582089552239	0.91044776119403	0.991044776119403	0.952985074626866	0.902238805970149	0.973134328358209	0.895522388059702	0.974626865671642
F1_score	0.102279043913285	0.134709397066812	0.33409821018816	0.0624290578887628	0.229607250755287	0.300604932526757	0.106126914660832	0.310313075506446	0.102085620197585
MCC	0.123714992913665	0.131663191840182	0.169806122476795	0.0793979374609039	0.147570164258594	0.129199228053595	0.0736521582858336	0.128716709109264	0.0731431509995938
AUC_PR	0.731240303078583	0.731770175396497	0.699340693030367	0.713436222865805	0.720878197537046	0.66508581024752	0.668275391680693	0.671321976353474	0.666476978134331
