	Degree	Closeness	Betweenness	PageRank	Eigenvector	av_Edge_Betweenness
TP	142	145	335	92	211	264
TN	1296	1306	1189	1302	1265	1197
FP	44	34	151	38	75	143
FN	1553	1550	1360	1603	1484	1431
PPV	0.763440860215054	0.810055865921788	0.689300411522634	0.707692307692308	0.737762237762238	0.648648648648649
NPV	0.454896454896455	0.457282913165266	0.466457434287956	0.448192771084337	0.460167333575846	0.455479452054795
Sensitivity	0.0837758112094395	0.0855457227138643	0.1976401179941	0.0542772861356932	0.124483775811209	0.155752212389381
Specificity	0.967164179104478	0.974626865671642	0.887313432835821	0.971641791044776	0.944029850746269	0.893283582089552
F1_score	0.150983519404572	0.154749199573106	0.307198532783127	0.100821917808219	0.213023725391217	0.251189343482398
MCC	0.105461370733302	0.126832433996549	0.115031222158286	0.0635641202888501	0.116451160300528	0.0714563093475702
