	Degree	Closeness	Betweenness	PageRank	Eigenvector
TP	126	140	355	70	306
TN	1318	1315	1222	1326	1263
FP	22	24	118	14	77
FN	1569	1555	1340	1625	1389
PPV	0.851351351351351	0.853658536585366	0.750528541226216	0.833333333333333	0.798955613577023
NPV	0.456529269137513	0.458188153310105	0.476971116315379	0.449339207048458	0.476244343891403
Sensitivity	0.0743362831858407	0.0825958702064897	0.209439528023599	0.0412979351032448	0.180530973451327
Specificity	0.983582089552239	0.982076176250934	0.911940298507463	0.98955223880597	0.942537313432836
F1_score	0.136733586543679	0.150618612157074	0.327490774907749	0.0786958965711074	0.29451395572666
MCC	0.133536304188431	0.1420132515525	0.166174212705445	0.0933836015054992	0.184033658106972
