	Degree	Closeness	Betweenness	PageRank	Eigenvector	av_Edge_Betweenness
TP	76	99	288	49	182	237
TN	1879	1860	1705	1889	1798	1690
FP	28	47	202	18	109	217
FN	1052	1029	840	1079	946	891
PPV	0.730769230769231	0.678082191780822	0.587755102040816	0.73134328358209	0.625429553264605	0.522026431718062
NPV	0.641078130330945	0.643821391484943	0.669941060903733	0.636455525606469	0.655247813411079	0.654784967067028
Sensitivity	0.0673758865248227	0.0877659574468085	0.25531914893617	0.0434397163120567	0.161347517730496	0.210106382978723
Specificity	0.985317252228631	0.97535395909806	0.894074462506555	0.990561090718406	0.942842160461458	0.886208704771893
F1_score	0.123376623376623	0.15541601255887	0.355995055624227	0.0820083682008368	0.256518675123326	0.299620733249052
MCC	0.139977871799643	0.142543071775619	0.196209481007466	0.111827797694733	0.171007849263432	0.130497530203813
