	Degree	Closeness	Betweenness	PageRank	Eigenvector	s_av_Edge_Betweenness	i_av_Edge_Betweenness	w_av_Edge_Betweenness	b_av_Edge_Betweenness
TP	83	125	291	47	240	277	46	277	46
TN	1878	1860	1718	1887	1779	1699	1832	1699	1832
FP	29	47	189	20	128	208	75	208	75
FN	1045	1003	837	1081	888	851	1082	851	1082
PPV	0.741071428571429	0.726744186046512	0.60625	0.701492537313433	0.652173913043478	0.571134020618557	0.380165289256198	0.571134020618557	0.380165289256198
NPV	0.64249059185768	0.649668180230527	0.672407045009785	0.63578167115903	0.667041619797525	0.666274509803922	0.628689087165408	0.666274509803922	0.628689087165408
Sensitivity	0.0735815602836879	0.110815602836879	0.257978723404255	0.0416666666666667	0.212765957446809	0.245567375886525	0.0407801418439716	0.245567375886525	0.0407801418439716
Specificity	0.984792868379654	0.97535395909806	0.900891452543262	0.989512323020451	0.932878867330886	0.89092815941269	0.960671211326691	0.89092815941269	0.960671211326691
F1_score	0.133870967741935	0.192307692307692	0.361940298507463	0.0786610878661088	0.320855614973262	0.343459392436454	0.0736589271417134	0.343459392436454	0.0736589271417134
MCC	0.149633598498152	0.180097997515204	0.210405070684429	0.102546911546344	0.215620245679636	0.180014456210095	0.00358480505658823	0.180014456210095	0.00358480505658823
