	Degree	Closeness	Betweenness	PageRank	Eigenvector	s_av_Edge_Betweenness	i_av_Edge_Betweenness	w_av_Edge_Betweenness	b_av_Edge_Betweenness
TP	107	122	271	60	249	249	51	237	49
TN	1866	1864	1717	1883	1773	1693	1834	1698	1837
FP	41	42	190	24	134	214	73	209	70
FN	1021	1006	857	1068	879	879	1077	891	1079
PPV	0.722972972972973	0.74390243902439	0.587852494577007	0.714285714285714	0.650130548302872	0.537796976241901	0.411290322580645	0.531390134529148	0.411764705882353
NPV	0.646345687564946	0.649477351916376	0.667055167055167	0.638088783463233	0.668552036199095	0.658242612752722	0.63002404671934	0.6558516801854	0.62997256515775
Sensitivity	0.0948581560283688	0.108156028368794	0.240248226950355	0.0531914893617021	0.220744680851064	0.220744680851064	0.0452127659574468	0.210106382978723	0.0434397163120567
Specificity	0.978500262191925	0.977964323189927	0.900367068694284	0.987414787624541	0.929732564237022	0.887781856318825	0.961719979024646	0.890403775563713	0.963293130571578
F1_score	0.167711598746081	0.188854489164087	0.341095028319698	0.099009900990099	0.329583057577763	0.313010685103708	0.0814696485623003	0.301143583227446	0.078588612670409
MCC	0.164598398401379	0.184059788905439	0.189324895886652	0.119618629228403	0.218985107652112	0.145861227685066	0.0169240062175835	0.137184928045076	0.0167633724308026
