	Degree	Closeness	Betweenness	PageRank	Eigenvector
TP	56	63	202	33	127
TN	2299	2264	2059	2313	2183
FP	48	83	288	34	164
FN	632	625	486	655	561
PPV	0.538461538461538	0.431506849315068	0.412244897959184	0.492537313432836	0.436426116838488
NPV	0.784373933810986	0.783662166839737	0.809037328094303	0.779312668463612	0.795553935860058
Sensitivity	0.0813953488372093	0.0915697674418605	0.293604651162791	0.0479651162790698	0.184593023255814
Specificity	0.97954835960801	0.964635705155518	0.877290157648061	0.985513421389007	0.930123561994035
F1_score	0.141414141414141	0.151079136690647	0.34295415959253	0.0874172185430464	0.259448416751788
MCC	0.14026685602077	0.109971251885635	0.194463322286364	0.095399894439073	0.163131724356905
