	Degree	Closeness	Betweenness	PageRank	Eigenvector	av_Edge_Betweenness
TP	76	76	154	53	104	107
TN	2237	2244	2015	2270	2165	2047
FP	110	103	332	77	182	300
FN	612	612	534	635	584	581
PPV	0.408602150537634	0.424581005586592	0.316872427983539	0.407692307692308	0.363636363636364	0.262899262899263
NPV	0.785187785187785	0.785714285714286	0.790506080816006	0.781411359724613	0.787559112404511	0.778919330289193
Sensitivity	0.11046511627907	0.11046511627907	0.223837209302326	0.0770348837209302	0.151162790697674	0.155523255813953
Specificity	0.953131657435023	0.956114188325522	0.858542820622071	0.967192160204516	0.922454196847039	0.872177247550064
F1_score	0.173913043478261	0.175317185697809	0.262350936967632	0.12958435207824	0.213552361396304	0.195433789954338
MCC	0.111015380422706	0.118327149278737	0.0940523512100766	0.0914521525460784	0.105501447746076	0.0340352182495618
