	Degree	Closeness	Betweenness	PageRank	Eigenvector	s_av_Edge_Betweenness	i_av_Edge_Betweenness	w_av_Edge_Betweenness	b_av_Edge_Betweenness
TP	77	62	176	39	188	161	26	161	26
TN	2290	2267	2055	2311	2110	2050	2267	2050	2267
FP	57	80	292	36	237	297	80	297	80
FN	611	626	512	649	500	527	662	527	662
PPV	0.574626865671642	0.436619718309859	0.376068376068376	0.52	0.442352941176471	0.351528384279476	0.245283018867925	0.351528384279476	0.245283018867925
NPV	0.789382971389176	0.783615623919806	0.8005453837164	0.780743243243243	0.808429118773946	0.795498641831587	0.773984294981222	0.795498641831587	0.773984294981222
Sensitivity	0.111918604651163	0.0901162790697674	0.255813953488372	0.0566860465116279	0.273255813953488	0.234011627906977	0.0377906976744186	0.234011627906977	0.0377906976744186
Specificity	0.975713677034512	0.965913932680017	0.875585854282062	0.984661269706008	0.89902002556455	0.873455475074563	0.965913932680017	0.873455475074563	0.965913932680017
F1_score	0.187347931873479	0.149397590361446	0.304498269896194	0.102228047182176	0.337825696316262	0.280977312390925	0.0654911838790932	0.280977312390925	0.0654911838790932
MCC	0.178602946721688	0.111084800310008	0.152338485240379	0.111511999258805	0.207854973272282	0.125700312474342	0.0084485664898838	0.125700312474342	0.0084485664898838
AUC_PR	0.41465051350428	0.363013213790404	0.339368951188596	0.39007461259495	0.37789307748553	0.313450188935073	0.264208181497178	0.313450188935073	0.264208181497178
