	Degree	Closeness	Betweenness	PageRank	Eigenvector	s_av_Edge_Betweenness	i_av_Edge_Betweenness	w_av_Edge_Betweenness	b_av_Edge_Betweenness
TP	61	79	196	34	160	186	25	186	25
TN	2296	2254	2063	2314	2139	2048	2251	2048	2251
FP	51	93	284	33	208	299	96	299	96
FN	627	609	492	654	528	502	663	502	663
PPV	0.544642857142857	0.459302325581395	0.408333333333333	0.507462686567164	0.434782608695652	0.383505154639175	0.206611570247934	0.383505154639175	0.206611570247934
NPV	0.785494355114608	0.787286063569682	0.807436399217221	0.779649595687331	0.802024746906637	0.803137254901961	0.772477693891558	0.803137254901961	0.772477693891558
Sensitivity	0.0886627906976744	0.114825581395349	0.284883720930233	0.0494186046511628	0.232558139534884	0.270348837209302	0.0363372093023256	0.270348837209302	0.0363372093023256
Specificity	0.978270132083511	0.96037494674052	0.87899446101406	0.985939497230507	0.911376224968044	0.872603323391564	0.95909671921602	0.872603323391564	0.95909671921602
F1_score	0.1525	0.183720930232558	0.335616438356164	0.0900662251655629	0.303030303030303	0.317135549872123	0.0618046971569839	0.317135549872123	0.0618046971569839
MCC	0.148650760291445	0.136174803456198	0.188042419387199	0.100755869940333	0.184620465382997	0.163343000167308	-0.00977138243408091	0.163343000167308	-0.00977138243408091
AUC_PR	0.402414203474973	0.372167619360165	0.355689190924178	0.380716728402509	0.378032392568805	0.326772080174245	0.282048856460834	0.326772080174245	0.282048856460834
