	Degree	Closeness	Betweenness	PageRank	Eigenvector
TP	138	146	397	93	150
TN	3628	3620	3273	3704	3533
FP	198	205	553	122	293
FN	1148	1140	889	1193	1136
PPV	0.410714285714286	0.415954415954416	0.417894736842105	0.432558139534884	0.338600451467269
NPV	0.75963149078727	0.760504201680672	0.786400768861124	0.756381458035532	0.756693082030413
Sensitivity	0.107309486780715	0.11353032659409	0.308709175738725	0.0723172628304821	0.116640746500778
Specificity	0.948248823836905	0.94640522875817	0.855462624150549	0.968112911657083	0.923418714061683
F1_score	0.170160295930949	0.178375076359194	0.355098389982111	0.123917388407728	0.173510699826489
MCC	0.0972837271247007	0.102840387225307	0.183138092380009	0.0874005772142396	0.0617851725497949
